id,sex,ethgroup,group,age,t_non,t_self,lt_non,lt_self,st_non,st_self,ybro,ysis,obro,osis
P1,female,white,group 0_1,19,2,3,3.958333,8,3.625,6,1,1,0,1
P2,female,white,group 0_1,18,4.625,7,3.958333,7,4.125,4,1,1,0,0
P3,female,white,group 0_1,18,4.625,4,4.041667,4,4.125,4,2,0,0,0
P4,female,white,group 0_1,18,5.375,8,4.75,2,5.0625,4,0,0,1,0
P5,female,white,group 0_1,19,4.375,4,4.25,6,4.125,4,1,0,0,0
P6,female,white,group 0_1,17,3.75,5,3.5,3,3.75,2,1,0,0,0
P7,female,white,group 0_1,19,4,2,4.666667,5,4.375,3,1,0,0,1
P8,female,white,group 0_1,19,3.5,7,3.208333,1,3.375,1,0,0,1,0
P9,female,white,group 0_1,18,2.875,3,3.375,4,3.25,3,2,0,0,0
P10,female,white,group 1_1,19,4.75,4,3.869565,3,4,3,0,0,0,1
P11,female,white,group 1_1,18,4.75,7,4.26087,6,4.333333,3,1,0,1,0
P12,female,white,group 1_1,18,4.875,5,4.478261,4,4.466667,1,1,1,0,1
P13,female,white,group 1_1,18,3.75,4,4.043478,5,4.066667,7,0,0,0,0
P14,female,white,group 1_1,18,4.875,6,4.782609,5,4.8,4,3,0,3,0
P15,female,white,group 1_1,17,4.625,4,3.958333,4,4.25,4,1,0,1,0
P16,female,white,group 1_1,18,4,3,4.652174,7,4.266667,5,0,0,0,1
P17,female,white,group 1_1,17,1.5,0,2.478261,0,2.533333,0,1,0,0,1
P18,female,white,group 1_1,17,3,2,3.695652,2,3.6,3,1,0,0,0
P19,female,white,group 2_1,19,4.875,5,3.958333,5,4.3125,6,1,0,0,0
P20,female,white,group 2_1,19,3.5,4,2.875,0,3.125,3,1,0,0,0
P21,female,white,group 2_1,20,3.875,3,4.083333,8,3.9375,7,0,0,0,1
P22,female,white,group 2_1,18,2.875,4,2.791667,6,2.875,4,0,0,1,0
P23,female,white,group 2_1,18,4.5,7,4.958333,7,4.9375,7,0,0,0,1
P24,female,white,group 2_1,18,4.875,6,5.541667,6,5.375,7,0,2,0,0
P25,female,white,group 2_1,18,3.875,2,4.125,2,4.1875,1,0,1,0,1
P26,female,white,group 2_1,19,3.625,3,4.25,6,4.0625,1,0,0,0,1
P27,female,white,group 2_1,19,3.5,6,2.708333,4,2.875,1,0,1,2,0
P28,female,white,group 3_1,18,4.75,6,5,5,5.266667,4,0,0,1,0
P29,female,white,group 3_1,17,1.25,3,1.304348,2,1.333333,1,0,0,0,0
P30,female,white,group 3_1,19,3.625,5,3.695652,6,3.6,6,0,1,0,0
P31,female,white,group 3_1,18,4,4,3.782609,5,3.666667,2,1,2,0,0
P32,female,white,group 3_1,19,2.875,1,2.826087,1,2.4,1,2,0,0,0
P33,female,white,group 3_1,18,5.125,7,5.478261,7,5.6,5,1,1,0,1
P34,female,white,group 3_1,18,4.5,6,4.583333,6,4.6875,6,0,1,0,0
P35,female,white,group 3_1,18,4.5,4,5.130435,3,4.866667,4,0,0,0,1
P36,female,white,group 3_1,19,4.75,5,4.130435,4,4.666667,2,0,0,0,1
P37,female,white,group 4_1,18,2.714286,6,3.428571,4,3.357143,6,0,1,0,0
P38,female,white,group 4_1,19,5.285714,2,4,1,4.357143,2,1,0,0,0
P39,female,white,group 4_1,20,3.571429,4,4.571429,3,4.5,7,1,3,1,0
P40,female,white,group 4_1,18,4.857143,3,4.571429,5,4.642857,3,0,0,1,0
